Remote,Station,Line Name,Division,Borough
R191,103 ST,1,IRT,MANHT
R192,110 ST-CATHEDRL,1,IRT,MANHT
R159,116 ST-COLUMBIA,1,IRT,MANHT
R034,125 ST,1,IRT,MANHT
R169,137 ST-CITY COL,1,IRT,MANHT
R273,145 ST,1,IRT,MANHT
R193,157 ST,1,IRT,MANHT
R321,18 ST,1,IRT,MANHT
R260,181 ST,1,IRT,MANHT
R274,191 ST,1,IRT,MANHT
R037,207 ST,1,IRT,MANHT
R038,215 ST,1,IRT,MANHT
R190,23 ST,1,IRT,MANHT
R040,231 ST,1,IRT,BRONX
R306,238 ST,1,IRT,BRONX
R117,242 ST,1,IRT,BRONX
R272,28 ST,1,IRT,MANHT
R116,50 ST,1,IRT,MANHT
R164,66 ST-LINCOLN,1,IRT,MANHT
R166,79 ST,1,IRT,MANHT
R167,86 ST,1,IRT,MANHT
R320,CANAL ST,1,IRT,MANHT
R189,CHRISTOPHER ST,1,IRT,MANHT
R305,CORTLANDT ST,1,IRT,MANHT
R036,DYCKMAN ST,1,IRT,MANHT
R343,FRANKLIN ST,1,IRT,MANHT
R290,HOUSTON ST,1,IRT,MANHT
R039,MARBLE HILL-225,1,IRT,MANHT
R465,METROCARD VAN-1,1,BMT,
R466,METROCARD VAN-2,1,BMT,
R467,METROCARD VAN-3,1,BMT,
R410,NYC & CO - 7 AV,1,IRT,
R304,RECTOR ST,1,IRT,MANHT
R070,ST. GEORGE,1,SRT,
R165,TOMPKINSVILLE,1,SRT,
R145,WAKEFIELD-241,2,IRT,BRONX
R344,145 ST,3,IRT,MANHT
R345,148 ST-LENOX,3,IRT,MANHT
R066,JUNIUS ST,3,IRT,BKLYN
R124,KINGSTON AVE,3,IRT,BKLYN
R069,NEW LOTS AVE,3,IRT,BKLYN
R061,NOSTRAND AVE,3,IRT,BKLYN
R067,PENNSYLVANIA AV,3,IRT,BKLYN
R065,ROCKAWAY AVE,3,IRT,BKLYN
R064,SARATOGA AVE,3,IRT,BKLYN
R063,SUTTER AVE,3,IRT,BKLYN
R068,VAN SICLEN AVE,3,IRT,BKLYN
R221,167 ST,4,IRT,BRONX
