REQ?,CODE,COURSE NAME,DESCRIPTION,CR,PREREQ(S)
REQ,DATA 602 ,Advanced Programming Techniques ,"In this course students will learn aspects of contemporary programming that are important for data gathering and analysis, including real-time programming, GUI design, interactive database programming, service-oriented architecture, data collection with and without databases, machine learning, data mining techniques, and GIS programming. Computer security issues will also be addressed, as will overall computer architecture. Students will be required to create a working system for a large volume of data using publically available data sets.",3,DATA 607 
REQ,DATA 605 ,Fundamentals of Computational Mathematics ,"This course will cover basic differential and integral calculus from the viewpoint of numerical methods and some basic probability concepts. The emphasis will be on modeling and applications to a number of different fields that make use of analytics in differing ways: e.g., business, urban systems, social networks. The course will incorporate basic linear and matrix algebra. Statistical programming and modeling packages will be used throughout.",3,DATA 606 and DATA 607 
REQ,DATA 606 ,Statistics and Probability for Data Analytics ,"This course covers basic techniques in probability and statistics that are important in the field of data analytics. Discrete probability models, sampling from infinite and finite populations, statistical distributions, basic Bayesian statistics, and non-parametric statistical techniques for categorical data are covered in this course. Each of these statistical concepts will be applied in a variety of real-world scenarios through the use of case studies and customized data sets.",3,NONE
REQ,DATA 607 ,Data Acquisition and Management ,"In this course students will learn about core concepts of contemporary data collection and its management. Topics will include systems for collecting data (real time, sensors, open data sets, etc.) and implications for practice; types of data (textual, quantitative, qualitative, GIS, etc.) and sources; an overview of the use of data, including what and how much should be collected and the distinction between data, information, and knowledge from a data-centric point of view; provenance; managing data with and without databases; computer and data security; data cleaning, fusing, and processing techniques; combining data from different sources; storage techniques including very large data sets; and storing data keeping in mind privacy and security issues. Students will be required to create a working system for a large volume of data using publically available data sets.",3,NONE
REQ,DATA 608 ,Knowledge and Visual Analytics ,"In this course students will learn non-statistical aspects of elucidating from data its information content which leads to knowledge. Several differing visual techniques will be examined to gain this knowledge through exploratory use of visualizations as well as visualization techniques for presenting data to a variety of stakeholders. Exploratory techniques look to find patterns in the data. Finding patterns that underlie the system’s characteristics when the data sets are very large or have many dimensions by reducing the dimensionality in intelligent ways is a complex task that often includes user direction. Presentation visualizations provide the viewer with useful information and knowledge since the visualizations are created with context in mind. In addition, students will learn how to integrate quantitative and qualitative data (e.g., text and narrative).",3,DATA 602 
REQ,DATA 621 ,Business Analytics and Data Mining ,"This course teaches students to comb through complex business data sets to produce knowledge, and ultimately, business intelligence. Students learn the basics of business analytics. However, this course goes well beyond typical analytics for managers by including rich computational components for predictive and prescriptive analytics. Strategy and operational business contexts are provided via case studies throughout the course. Students will deal with actual business scenarios like sales, marketing, logistics, and finance. Students are expected to bring in practical problems from their own fields of interest. In addition, each student will be responsible for leading discussions in a particular application area. Teamwork is an essential part of the course.",3,DATA 606 and DATA 607 
REQ,DATA 698 ,Analytics Master's Research Project ,"In this course, students will integrate the knowledge and skills derived from the previous classes into a real-world project. Working in small teams (that may be geographically distributed) or by themselves, students will work on designing an information system. With the oversight of a faculty advisor, students will identify a topic, develop a research plan, conduct research, and collect and analyze data. The project may be organized in collaboration with a partner organization, for example, a local company, non-profit, or research lab.",3,Permission
ELEC,DATA 600 ,Information and Systems ,"Information systems today play an important role within an organization and that role will only grow in the future as data becomes an ever more critical driver of organizational goals. This course introduces students to concepts of information systems and the role of information systems within an organization. Topics covered will include organizational structure and behavior, types of information systems, hardware and software issues, data collection tools and techniques, issues of complexity, and the relevance of information systems to larger social issues like sustainability. The course will provide a review of relevant literature and some case study discussions.",3,1st sem.
ELEC,DATA 604 ,Simulation and Modeling Techniques ,"This course teaches students the basics of simulation, systems modeling, and related software applications. Topics include event-driven and agent-based simulations, such as generation of random numbers, random variates, design for simulation experiments, gathering statistics, and steady state versus transient state results. The use of combined simulation and optimization will be covered. Students will develop a contextual understanding of simulation and modeling through the use of case studies.",3,DATA 606 
ELEC,DATA 609 ,Mathematical Modeling Techniques for Data Analytics ,"In this course students will learn mathematical methods for understanding data relationships and for system optimization. Mathematical modeling techniques for representing a complex system will be presented. Topics to be covered include linear (LP) and non-linear programming (NLP); algorithmic search methods for optimization; branch and bound and dynamic programming, and their uses. Use of modeling packages will be stressed. Examples will be used from actual systems. In addition, students will be expected to explain their models, reports, and analyses in plain and easy-to-understand language.",3,DATA 602 and DATA 605 
